round_index,test_id,source_file_index,source_session_dir,source_session_id,original_round_index,original_test_id,selected_step_count,selected_step_indices,ConstellationConfig,DegradedEdgeRatio,EdgeDisconnectRatio,EdgeBandwidthMeanDecreaseRatio,EdgeBandwidthDecreaseStd,PoissonRate,MeanIntervalTime,PacketGenerationInterval,PacketSizeMean,PacketSizeStd,StateObservationAttack_level,ActionAttack_level,StateTransferAttack_level,RewardAttack_level,ExperiencePoolAttack_level,ModelTampAttack_level,PacketLossRate,NetworkThroughput,BandwidthUtilization,AvgPacketNodeVisits,CumulativeReward,AverageInferenceTime,AverageE2eDelay,AverageHopCount,AverageComputingRatio,ComputingWaitingTime,AverageEndingReward
1,11,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,1,11,2,"90,100",4.0,0.28065784365301516,0.30749449158164854,0.40508073421233837,0.18322719710951957,43.962458823556396,16.74727418284195,3.427513574215919,384930309.0,500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38245,53.849000000000004,0.00315,6.048,6.159306,0.369,3.347,5.4615,0.1608,3.0165,0.8326470436048106
1,12,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,1,12,2,"90,100",4.0,0.7333458516896226,0.6714144119232773,0.6969849672940283,0.2,43.33798204952834,18.62156804919835,3.0663193170317045,256419256.0,260554143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85645,8.3385,0.00115,2.659,2.2158485,0.41700000000000004,1.395,4.0835,0.06085,1.2805,0.9302586976376237
1,13,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,1,13,2,"90,100",4.0,0.6024113500889439,0.0,0.34534248537333606,0.036431217051949696,41.148308012240626,16.33469019195193,3.277571132900495,267578191.0,184245049.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,62.357,0.00195,5.8515,13.7602565,0.42600000000000005,1.912,4.7509999999999994,0.1042,1.7185000000000001,0.8784091866225165
1,14,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,1,14,2,"90,100",4.0,0.5030875789880223,0.6642187457854373,1.0,0.16510012953316153,42.96817194824917,14.448775595466154,3.438715616178304,100000000.0,352696170.0,0.0,0.0,0.0,0.0,0.0,2.0,0.87985,0.2325,0.0010500000000000002,2.417,1.496065,0.4235,0.5825,3.1665,0.0675,0.527,0.9708697411197666
1,15,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,1,15,2,"90,100",4.0,0.7514547189724555,0.41022517975833916,0.41022517975833916,0.15907004928351637,41.849890729329694,19.02115526729662,3.409986500628934,443741984.0,411611082.0,4.0,0.0,0.0,0.0,0.0,0.0,0.69235,14.743500000000001,0.0029,3.8665000000000003,1.35304,0.40900000000000003,3.54,4.833,0.1308,3.23,0.8229865225992464
1,16,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,1,16,2,"90,100",4.0,0.5836421846047644,0.4417481155106127,0.4629107522354911,0.14721933354402736,45.34262774858705,17.39719393638408,3.7275470322592827,700508694.0,500000000.0,0.0,3.0,0.0,0.0,0.0,0.0,0.73085,63.3235,0.00705,4.23,-0.32755300000000004,0.4225,3.6345,5.569,0.19415,2.9945,0.7408063101564695
1,17,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,1,17,2,"90,100",4.0,0.3286834474905186,0.6844195665033247,0.7831359252914146,0.13216986347675452,42.66703884581156,16.809878999325665,3.5677539248822336,100000000.0,499151344.0,0.0,2.0,0.0,0.0,0.0,0.0,0.56385,10.271500000000001,0.00145,3.729,6.7714795,0.395,1.376,3.3455,0.095,1.2810000000000001,0.931220468764565
2,18,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,18,2,"90,100",4.0,0.21894186901205043,0.5125551653120104,0.6080083942206772,0.09781527880412194,43.11324491733121,14.413570871264524,3.7586847558663297,100000000.0,136918996.0,0.0,0.0,0.0,0.0,3.0,0.0,0.42469999999999997,13.4935,0.00055,4.434,9.547365,0.446,0.9555,4.0895,0.03665,0.8565,0.9105618188772265
2,19,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,19,2,"90,100",4.0,0.07154929233905033,0.6499774293804952,0.9720899933770575,0.04569261574045249,45.61996272299661,14.000001,3.590559992988341,100000000.0,255077086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,31.174500000000002,0.0008500000000000001,5.1045,17.3186405,0.4405,1.131,4.0344999999999995,0.05835,1.011,0.9178128384487186
2,20,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,20,2,"90,100",4.0,0.7182765235306188,0.5588567771304889,0.7233644904660277,0.11458067488185383,41.75301335722731,16.554615490432056,3.455147181989967,117237428.0,303869071.0,0.0,0.0,3.0,0.0,0.0,0.0,0.7576,15.38,0.00115,3.1205,3.537642,0.41200000000000003,1.2095,4.0415,0.0767,1.0775000000000001,0.9395316673353211
2,21,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,21,2,"90,100",4.0,0.43061267022451477,0.4904944509629971,1.0,0.0721642805338209,43.08423046246476,14.962116582173955,3.548636366506148,100000000.0,261168877.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6194500000000001,56.00450000000001,0.0015,2.7815,6.9792685,0.4155,1.4545,3.553,0.0625,1.2894999999999999,0.8575599318139442
2,22,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,22,2,"90,100",4.0,0.47013743507189615,0.6889169293213395,0.6889169293213395,0.07013898331993815,43.493838329515924,17.874510338822983,3.2057386235939433,100000000.0,500000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6901999999999999,16.346,0.0027500000000000003,3.2615,5.237895,0.40800000000000003,2.3594999999999997,3.6395,0.09670000000000001,2.1159999999999997,0.8109657325284629
2,23,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,23,2,"90,100",4.0,0.27294326140466074,0.20687582104269575,0.5088901718209503,0.03784463182181533,43.44087361636821,17.71474825812803,3.7114118767378037,312797299.0,230528690.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1956,62.578,0.00175,4.9275,10.0666955,0.364,1.717,4.4285,0.08665,1.5205000000000002,0.8941355742008172
2,24,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,24,2,"90,100",4.0,0.0,0.0,0.0,0.049943650592881667,44.93487149562504,15.582955190123345,3.707692455902859,200921283.0,172060623.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3135,0.0013,5.372,14.6053015,0.4555,1.3065,4.246,0.06420000000000001,1.1585,0.8913817030938214
2,25,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,25,2,"90,100",4.0,0.46558762874064874,0.4467838535254982,0.4467838535254982,0.12504521684307496,43.29941066795405,15.722917114428899,3.5182002643141637,100000000.0,314824019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4537,70.06649999999999,0.00115,3.6205,10.0032725,0.453,1.436,3.8890000000000002,0.09335,1.3010000000000002,0.891167086201367
2,26,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,26,2,"90,100",4.0,0.4228240008693261,0.6162102864805432,0.7147130265383774,0.10043846327970465,42.375218882311,18.46943365730033,3.384046776825605,100000000.0,247260865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5804,7.35,0.00035,3.0780000000000003,8.4113765,0.437,0.8255,3.0999999999999996,0.02415,0.7555,0.9587205298882299
2,27,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,27,2,"90,100",4.0,0.5617886836155588,0.72785566178698,0.72785566178698,0.14250632671693692,42.48579681147527,16.357383395617056,3.6237166786170403,100000000.0,279640011.0,0.0,2.0,0.0,0.0,0.0,0.0,0.7529,7.943,0.0005,2.9825,3.278915,0.3615,0.5975,3.625,0.048350000000000004,0.504,0.7618026853085653
2,28,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,28,2,"90,100",4.0,0.40909866928961763,0.31134693634531546,0.780966840400523,0.08092620569300507,40.40801032223596,17.825006678370176,3.755954014299692,190483745.0,358666728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4035,15.402000000000001,0.0013,3.935,9.2793505,0.402,1.5785,3.377,0.07919999999999999,1.459,0.8526151400142468
