round_index,test_id,ConstellationConfig,DegradedEdgeRatio,EdgeDisconnectRatio,EdgeBandwidthMeanDecreaseRatio,EdgeBandwidthDecreaseStd,PoissonRate,MeanIntervalTime,PacketGenerationInterval,PacketSizeMean,PacketSizeStd,StateObservationAttack_level,ActionAttack_level,StateTransferAttack_level,RewardAttack_level,ExperiencePoolAttack_level,ModelTampAttack_level,fail_score,total_membership,total_membership_v2,decision_score,decision_score_v2,fused_score,final_failure_probability,terminal_risk_score,system_failure,true_failure,terminal_hard_failure
0,1,4,0.08,0.1,0.2,0.1,45.0,15.0,4.0,400000000,115470000,0,0,0,0,0,0,0.0,0.1884512435361756,0.24243892955304522,0.11407451644320021,0.11407451644320021,0.0,0.0,0.006518281962732209,False,False,False
1,2,4,1.0,0.3432883468940058,0.3432883468940058,0.2,42.653365201750745,19.01332088049946,3.4359514088839465,100000000,500000000,0,0,0,3,0,0,0.0,0.24513963088802204,0.42561199118437054,0.22171335230621575,0.22171335230621575,0.0,0.0,0.38328874889310843,False,False,True
1,3,4,0.1053974015981885,0.17295965681748043,0.17295965681748043,0.045454566684130865,42.53461306160311,15.60803117536041,3.915622472383782,396522427,332704506,1,0,0,0,0,0,0.0,0.22969294901535542,0.28001763423352366,0.17896074030782724,0.17896074030782724,0.0,0.0,0.13385267166200385,False,False,False
1,4,4,0.0,0.0,0.0,0.0478446910079676,42.172822306287706,17.252218315418652,3.771169260552734,100000000,401135947,0,0,0,0,0,0,0.0,0.2821162129285435,0.28746838589509977,0.1165262807178357,0.1165262807178357,0.0,0.0,0.0,False,False,False
1,5,4,0.8227153340142308,0.40270149815004197,0.6574239360032605,0.09872207736831728,41.30448495512518,17.450723448804165,3.4611856398496044,185405105,333702184,4,0,0,0,0,0,0.0,0.23459327272158617,0.43877204433984585,0.17112909673846635,0.17112909673846635,0.0,0.0,0.3208251084804268,False,False,True
1,6,4,0.49910803539678167,0.3569235423123256,0.3569235423123256,0.08240966048379131,41.801240990162626,17.730833875970394,3.000001,303555585,202998631,0,0,0,0,0,0,0.0,0.2458749843632801,0.31288122015625086,0.13625234050537047,0.13625234050537047,0.0,0.0,0.24044039947244414,False,False,True
1,7,4,0.3736423394045408,0.7183830651857448,0.7615614141429006,0.13260299863498842,43.3122990792512,16.412200520446582,3.2282784736883716,531797884,477033625,0,0,0,0,0,0,0.0,0.24413827697678814,0.43685257817222667,0.3703422416666347,0.3703422416666347,0.0,0.0,0.42813982180194515,False,False,True
1,8,4,0.3879461025207811,0.6159925134970459,0.6850596571962833,0.07241785963766961,44.87145711292428,14.000001,3.3741037886204497,113375155,123444695,0,2,0,0,0,0,0.0,0.21236947534509246,0.3489166962314742,0.21480947131683165,0.21480947131683165,0.0,0.0,0.4390245691750072,False,True,True
1,9,4,0.8962131611356959,0.6823928041916101,0.6823928041916101,0.16715123703078055,43.41735568619728,14.225992676119297,3.528620228866187,100000000,314642838,0,0,0,0,0,0,0.0,0.23879883694434328,0.3525803509516121,0.27835305038224806,0.27835305038224806,0.0,0.0,0.6801270232066301,False,True,True
1,10,4,0.04908951444940929,0.25123723068194365,0.25123723068194365,0.09366342190615219,45.087341317447475,16.213138023877114,3.8209649954592706,164204401,500000000,0,0,0,0,0,0,0.0,0.2953943490011948,0.2973641929276702,0.18085563554803066,0.18085563554803066,0.0,0.0,0.06094460272057303,False,False,False
1,11,4,0.28065784365301516,0.30749449158164854,0.40508073421233837,0.18322719710951957,43.962458823556396,16.74727418284195,3.427513574215919,384930309,500000000,0,0,0,0,0,0,0.0,0.31902639342704253,0.345945930822947,0.3133838021505191,0.3133838021505191,0.0,0.0,0.2749938314711011,False,False,True
1,12,4,0.7333458516896226,0.6714144119232773,0.6969849672940283,0.2,43.33798204952834,18.62156804919835,3.0663193170317045,256419256,260554143,0,0,0,0,0,0,0.0,0.2572090274291225,0.3237259052251646,0.2081625592408838,0.2081625592408838,0.0,0.0,0.4604326492078608,False,True,True
1,13,4,0.6024113500889439,0.0,0.34534248537333606,0.036431217051949696,41.148308012240626,16.33469019195193,3.277571132900495,267578191,184245049,0,0,3,0,0,0,0.0,0.4242625521985879,0.48122690487617337,0.12432719864078952,0.12432719864078952,0.0,0.0,0.0,False,False,False
1,14,4,0.5030875789880223,0.6642187457854373,1.0,0.16510012953316153,42.96817194824917,14.448775595466154,3.438715616178304,100000000,352696170,0,0,0,0,0,2,0.0,0.24947575505644448,0.40930588447301414,0.21961801183839216,0.21961801183839216,0.0,0.0,0.4861466776905974,False,True,True
1,15,4,0.7514547189724555,0.41022517975833916,0.41022517975833916,0.15907004928351637,41.849890729329694,19.02115526729662,3.409986500628934,443741984,411611082,4,0,0,0,0,0,0.0,0.33788675289632614,0.4418246901022227,0.36777265451459706,0.36777265451459706,0.0,0.0,0.4306269128471318,False,False,True
1,16,4,0.5836421846047644,0.4417481155106127,0.4629107522354911,0.14721933354402736,45.34262774858705,17.39719393638408,3.7275470322592827,700508694,500000000,0,3,0,0,0,0,0.0,0.2822269881626029,0.4696598525361619,0.37960277272319415,0.37960277272319415,0.0,0.0,0.4642523692509754,False,True,True
1,17,4,0.3286834474905186,0.6844195665033247,0.7831359252914146,0.13216986347675452,42.66703884581156,16.809878999325665,3.5677539248822336,100000000,499151344,0,2,0,0,0,0,0.0,0.32446080634476926,0.4064816822744568,0.20119114945418703,0.20119114945418703,0.0,0.0,0.4479725475249724,False,False,True
2,18,4,0.21894186901205043,0.5125551653120104,0.6080083942206772,0.09781527880412194,43.11324491733121,14.413570871264524,3.7586847558663297,100000000,136918996,0,0,0,0,3,0,0.0,0.3710199445279396,0.38383868966831625,0.22016832818457688,0.22016832818457688,0.0,0.0,0.2829519728626638,False,False,True
2,19,4,0.07154929233905033,0.6499774293804952,0.9720899933770575,0.04569261574045249,45.61996272299661,14.000001,3.590559992988341,100000000,255077086,0,0,0,0,0,0,0.0,0.4242493875690758,0.3424332326886431,0.13597467694106588,0.13597467694106588,0.0,0.0,0.06506029595789219,False,False,False
2,20,4,0.7182765235306188,0.5588567771304889,0.7233644904660277,0.11458067488185383,41.75301335722731,16.554615490432056,3.455147181989967,117237428,303869071,0,0,3,0,0,0,0.0,0.20513583908040517,0.43508913109704817,0.21258307854616695,0.21258307854616695,0.0,0.0,0.4763087050064837,False,False,True
2,21,4,0.43061267022451477,0.4904944509629971,1.0,0.0721642805338209,43.08423046246476,14.962116582173955,3.548636366506148,100000000,261168877,0,0,0,0,0,2,0.0,0.18420385204191142,0.34760698648812566,0.10895916931760088,0.10895916931760088,0.0,0.0,0.33112417107275205,False,False,True
2,22,4,0.47013743507189615,0.6889169293213395,0.6889169293213395,0.07013898331993815,43.493838329515924,17.874510338822983,3.2057386235939433,100000000,500000000,2,0,0,0,0,0,0.0,0.28415638292126744,0.43354447170782384,0.20585779242977104,0.20585779242977104,0.0,0.0,0.4309056609891212,False,False,True
2,23,4,0.27294326140466074,0.20687582104269575,0.5088901718209503,0.03784463182181533,43.44087361636821,17.71474825812803,3.7114118767378037,312797299,230528690,0,2,0,0,0,0,0.0,0.3004308636948883,0.3420652809598588,0.16290216365697036,0.16290216365697036,0.0,0.0,0.14407858964249487,False,False,False
2,24,4,0.0,0.0,0.0,0.049943650592881667,44.93487149562504,15.582955190123345,3.707692455902859,200921283,172060623,1,0,0,0,0,0,0.0,0.24238728816133612,0.26610691200195397,0.08667141471414078,0.08667141471414078,0.0,0.0,0.0,False,False,False
2,25,4,0.46558762874064874,0.4467838535254982,0.4467838535254982,0.12504521684307496,43.29941066795405,15.722917114428899,3.5182002643141637,100000000,314824019,0,0,0,0,0,0,0.0,0.3374295426833306,0.26445497884089525,0.13466132625024882,0.13466132625024882,0.0,0.0,0.3023224724079278,False,False,True
2,26,4,0.4228240008693261,0.6162102864805432,0.7147130265383774,0.10043846327970465,42.375218882311,18.46943365730033,3.384046776825605,100000000,247260865,0,0,0,0,0,0,0.0,0.24425309982355167,0.3629431925419884,0.17386393999703903,0.17386393999703903,0.0,0.0,0.4132072151014541,False,True,True
2,27,4,0.5617886836155588,0.72785566178698,0.72785566178698,0.14250632671693692,42.48579681147527,16.357383395617056,3.6237166786170403,100000000,279640011,0,2,0,0,0,0,0.0,0.19722014096017373,0.3209083004036287,0.20923300301855957,0.20923300301855957,0.0,0.0,0.4311646314399944,False,True,True
2,28,4,0.40909866928961763,0.31134693634531546,0.780966840400523,0.08092620569300507,40.40801032223596,17.825006678370176,3.755954014299692,190483745,358666728,0,0,0,0,0,0,0.0,0.29467815489672433,0.3172833062323921,0.19371241810983666,0.19371241810983666,0.0,0.0,0.375741365060433,False,False,True
2,29,4,0.4919896245808839,0.5056046035851893,0.5056046035851893,0.11877392990955468,42.944634716338356,17.356098564573138,3.5556032859435076,327987598,364085967,4,0,0,0,0,0,0.0,0.28825887869586697,0.3261111036578868,0.19875711492110026,0.19875711492110026,0.0,0.0,0.3844106923684912,False,False,True
2,30,4,0.8191437033806962,0.0,0.7288940896662219,0.12891848157813074,42.19283969875892,20.08081244128043,3.6119651010808034,278958564,317301150,0,3,0,0,0,0,0.0,0.28652862946137025,0.26129903362397255,0.2321908009689084,0.2321908009689084,0.0,0.0,0.10499479713875373,False,False,False
2,31,4,0.12024808912223289,0.5575560194227982,0.5864247957991449,0.08651183671884176,42.58522395701512,17.492138417712866,3.363474897601488,439566282,421200136,0,0,0,0,0,0,0.0,0.3448168525396236,0.3330882537483222,0.262481238213198,0.262481238213198,0.0,0.0,0.10427390805425735,False,False,False
2,32,4,0.26855919472465284,0.3654532176979006,0.3654532176979006,0.12899338612425854,41.767601507865045,15.686180640865484,3.423480401386626,100000000,421099695,0,4,0,0,0,0,0.0,0.41978479265554636,0.3159008010893348,0.24815730696263388,0.24815730696263388,0.0,0.0,0.2856333840128584,False,False,True
2,33,4,0.5823452008851485,0.35622045638010874,0.35622045638010874,0.13276786501475846,43.156604832146016,16.582030284771644,3.1526292553066577,154872662,377148915,0,0,0,0,0,4,0.0,0.31994856197765414,0.548977136673555,0.4453400272557812,0.4453400272557812,0.0,0.0,0.4195010867131338,False,True,True
3,34,4,0.5960107395807895,0.5302115374328065,0.5302115374328065,0.10595738159912399,41.53009488599171,19.203371546530054,3.2075051420061635,535114135,500000000,0,0,0,0,0,0,0.0,0.2872254624454379,0.4521641966673158,0.31347053037798345,0.31347053037798345,0.0,0.0,0.49562848703911,True,False,True
3,35,4,1.0,0.059743961824950675,0.059743961824950675,0.19594609132200252,45.51825598720539,15.713988957840407,3.4857319352807457,124928011,500000000,4,0,0,0,0,0,0.0,0.29904928889032584,0.29750085804131543,0.20706340020270073,0.20706340020270073,0.0,0.0,0.08834837048451596,True,False,False
3,36,4,0.3566783743576346,0.8146045399384572,0.8146045399384572,0.028811033553335863,41.86965585582433,21.152315448873424,3.4361104698013443,100000000,161682177,3,0,0,0,0,0,0.0,0.2596978839130551,0.38968736792921554,0.24942399182663266,0.24942399182663266,0.0,0.0,0.4574858293259989,True,True,True
3,37,4,0.4133218623600097,0.6094558569300093,0.6094558569300093,0.13218080325712817,43.62041396825993,17.23402134512398,3.5984501924811476,100000000,274582711,0,0,0,0,2,0,0.0,0.23849113266277655,0.3468629705200594,0.1949757094401449,0.1949757094401449,0.0,0.0,0.25624739676010405,True,False,True
3,38,4,0.2232947360166293,1.0,1.0,0.09738974039610263,41.88104379407532,19.090957891881935,3.606148948244231,100000000,150846897,0,0,2,0,0,0,0.0,0.3980206276470747,0.4966295540071396,0.21416808095067114,0.21416808095067114,0.0,0.0,0.46024155244246373,True,True,True
3,39,4,0.49679467775928404,0.6265279938863055,0.7792612635971521,0.1259404601054033,43.000581778507474,16.82440853840129,3.4794184114512343,300870988,258342637,0,3,0,0,0,0,0.0,0.2475848465315127,0.32973297145498587,0.19853672338710887,0.19853672338710887,0.0,0.0,0.4290330687775801,True,False,True
3,40,4,0.5973758802930608,0.33471403288362755,0.5955419327796342,0.12878330573775718,40.92923146593276,16.756643248318777,3.356215909888149,177392539,306632151,0,0,0,0,0,2,0.0,0.33020302429783244,0.3162567989587019,0.13060804151991046,0.13060804151991046,0.0,0.0,0.2324128695937471,True,False,True
3,41,4,0.653519365000214,0.6813330086468984,0.9853686627440621,0.08209159079664174,41.992570733953805,18.238564895825963,3.235154030272999,110656956,320630740,0,0,0,4,0,0,0.0,0.2400896290013286,0.3995464643742605,0.3210860932545544,0.3210860932545544,0.0,0.0,0.46849162479403833,True,True,True
3,42,4,0.25510150562471673,0.3352984993262161,0.47372768279679806,0.03339241820726829,42.88730275275925,20.848601699984947,3.510857745406891,100000000,300295995,0,0,2,0,0,0,0.0,0.3708896035883163,0.33621845803214095,0.1561386182459697,0.1561386182459697,0.0,0.0,0.20718455216632864,True,False,False
3,43,4,0.391832979575477,0.6848881488371639,0.7742843084756743,0.09433033975570373,44.626972166521284,19.335310197884045,3.628628135971363,122670119,311650193,0,0,2,0,0,0,0.0,0.3210928414416652,0.43527028028863324,0.11898764915830486,0.11898764915830486,0.0,0.0,0.2722608233020147,True,False,True
